Island,ID,Geologic Area,Name,Rock type,AgeUpBound,AgeLowBound,AgeMeth,MagMin,Primary,FieldTest,MaxAgeMag,MinAgeMag,nSample,Nsites,Dec,Inc,a95,k,A95_VGP,K_VGP,BedStrike,BedDip,Lat,Long,Plat,Plong,Lambda,Ref,DOI,Comments,
HONSHU SW ,HN-SW-86-1,Gö + Yamaguchi,Ochi,Rhy + RhyD WT,92,80,FT,Magnetite,Y,Bedding-tilt test,,,154,14,73.4,43,10,13.7,9.8,12.89207902,,,35,134,27.03,211.18,24.99764142,"Otofuji and Matsuda, 1987",10.1016/0012-821X(87)90039-2,,
HONSHU SW ,HN-SW-85-1,Gö + Yamaguchi,Shunan + Abu,Rhy WT + Dct WT,112,58,Rb-Sr / FT,Magnetite,Y,Bedding-tilt test,,,231,21,64.6,63.7,5.8,13.2,8.5,6.436288782,,,35,134,40.91,191.18,45.33246612,"Otofuji and Matsuda, 1987",10.1016/0012-821X(87)90039-2,,
HONSHU SW ,HN-SW-102-1,Inuyama,Red Bedded Cherts,Red Chert,240,176,Biostrat,Magnetite,N,Fold test,120,83,90,9,51.6,66.7,5.5,88.4,4.919098582,38.64540946,Individual,,34.5,137,49.75,189.33,49.26049267,"Oda et al., 2000",10.1029/2000jb900267,,
HONSHU SW ,C1,Yamami,,Mudstones,17.76,16.96,,,Y,,,,8,,23.1,47.9,3.9,199.8,,,N89ºW,5,34.73,136.91,,,,"Hoshi & Matsunaga, 2024",10.1111/iar.12513,Bed converted DD --> S/D,
HONSHU SW ,C2,Yamami,,Mudstones,17.76,16.96,,,Y,,,,8,,35.8,54.4,6.1,83.3,,,N89ºW,5,34.73,136.91,,,,"Hoshi & Matsunaga, 2024",10.1111/iar.12513,Bed converted DD --> S/D,
HONSHU SW ,SW(Th),Oeyama SW,,Dunite (Serp),469,444,,,N,,20,15,33,,227.2,-38,5.5,22,,,NC,NC,35.38,134.38,,,,"Otofuji et al., 2020",10.1016/j.epsl.2020.116656,,
HONSHU SW ,SW(AF),Oeyama SW (AF),,Dunite (Serp),469,444,,,N,,20,15,8,,233.8,-39.5,6.6,70.8,,,NC,NC,35.38,134.38,,,,"Otofuji et al., 2020",10.1016/j.epsl.2020.116656,,
HONSHU SW ,Mean (47% TC),Ohyamashimo Fm,,Redbed,112.5,111.7,,,Y,,,,,28,77,51.8,2.9,87.6,3.5,,,,35.08,135.1,,,,"Uno & Morinaga, 2023",10.5575/geosoc.2023.0031,,
HONSHU SW ,Meat ChRM,Ishizuchiyama ,,Red ms,107,105.6,,,Y,,,,,11,84.2,41.9,7.1,42,,,,,34.55,133.46,,,,"Uno et al., 2021",10.1186/s40623-021-01457-6,,
HONSHU SW ,Mean MT (9% TC),Ishizuchiyama MT,,Red ms,107,105.6,,,N,,70,20,,12,58.3,50.5,4.8,82,,,,,34.55,133.46,,,,"Uno et al., 2021",10.1186/s40623-021-01457-6,,
HONSHU SW ,Mean HTC,Hayama,,Red ms,105,97,,,Y,,,,,8,65.9,48.1,5.2,114.7,6.1,,,,34.82,133.49,,,,"Uno et al., 2023",10.1186/s40562-023-00275-w,,
HONSHU SW ,Mean MTC1,Hayama,,Red ms,105,97,,,N,,70,35.8,,8,50.4,53.6,1.9,895,,,,,34.82,133.49,,,,"Uno et al., 2023",10.1186/s40562-023-00275-w,,
HONSHU SW ,Mean MTC2,Hayama,,Red ms,105,97,,,N,,70,35.8,,8,49.9,52.2,2.6,472,,,,,34.82,133.49,,,,"Uno et al., 2023",10.1186/s40562-023-00275-w,,
PHIL. SEA,PSP-1-1,Izu Peninsula,Jaishi Volc ,Andesitic lava,1.42,1.28,K-Ar,Ti-Magnetite,N,Bedding-Tilt,,,60,9,334.9,58,11.4,17.1,7,10.21086563,,,35,139,69.65,66.78,38.66565141,"Kikawa et al., 1989",10.5636/jgg.41.175,Averaged in April 2020,
PHIL. SEA,PSP-1-2,Izu Peninsula,Tanaba Volc,Andesitic lava,1.52,1.19,K-Ar,Ti-Magnetite,Y,Bedding-Tilt,,,53,8,350.1,47.7,11.4,17.5,9.3,14.49489634,,,35,139,79.56,375.24,28.78847881,"Kikawa et al., 1989",10.5636/jgg.41.175,Averaged in April 2020,
PHIL. SEA,PSP-1-3,Izu Peninsula,Fudeshima volc.,Basaltic lava,2.4,0.1,K-Ar,Ti-Magnetite,Y,Bedding-Tilt,,,92,21,2.4,51.9,6.6,24.1,7,17.59840073,,,35,139,86.82,279.46,32.5245839,"Kikawa et al., 1989",10.5636/jgg.41.175,Averaged in April 2020,
F. MAGNA,FM-2-1,Boso Peninsula,Kd38 volc ash,Ash/pumice/WT,2.6,1.6,FT,Magnetite,Y,,,,19,,29.5,48.9,4,72.7,4.211804058,58.15220046,,,35.2161,140.10527,64.65,234.01,29.81964255,"Iwaki and Hayashida, 2003",10.1046/j.1440-1738.2003.00378.x,,
F. MAGNA,FM-2-2,Takayama,Ebisutoge,Ash/pumice/WT,2.6,1.6,FT,Magnetite,Y,,,,12,,33,51.1,6.6,44.7,6.986530488,33.46198561,,,36.19361,137.3408,62.42,226.82,31.78470642,"Iwaki and Hayashida, 2003",10.1046/j.1440-1738.2003.00378.x,,
F. MAGNA,FM-5-1,Fossa Magna,Shigarami Fm.,Sills and Lavas,6.17,4.43,K-Ar,Magnetite,Y,Fold test,,,29,7,349,58.5,8.97,46.24,11.67,27.73,,,36.516,138,80.91,68.58,39.21189449,"Niitsuma et al., 2003",10.1046/j.1440-1738.2003.00397.x,Averaged in April 2020,
F. MAGNA,FM-6-1,Echigo-Yzawa,-,Granite,5.9,5.9,K-Ar,(Ti-)Magnetite,Y,,,,91,7,43.7,40,15.5,16,14.3,11.2,,,36.868,138.8025,49.95,236.89,22.76047627,"Hirooka et al., 1990",10.1016/0031-0182(90)90185-A,,
