Island,ID,Geologic Area,Name,Rock type,AgeUpBound,AgeLowBound,AgeMeth,MagMin,Primary,FieldTest,MaxAgeMag,MinAgeMag,nSample,Nsites,Dec,Inc,a95,k,A95_VGP,K_VGP,BedStrike,BedDip,Lat,Long,Plat,Plong,Lambda,Ref,DOI,Comments,
HONSHU NE,IN mean,Andesite intr.,,Andesite,15,15,,,Y,,,,,5,3.1,40.3,16.2,23.2,6,162.2,,,38.04,139.86,,,,"Hoshi et al., 2023",10.5575/geosoc.2023.0021,,
HONSHU NE,M mean,Myozawagawa,,Tuff,15.9,15.3,,,Y,,,,,3,330.8,52.9,2.2,3244.9,2.9,1857.6,,,38.05,139.87,,,,"Hoshi et al., 2023",10.5575/geosoc.2023.0021,,
HONSHU NE,B mean,Bentozawabashi,,Andesite,16.6,15.2,,,Y,,,,,14,318.8,53.4,7.7,27.8,9.4,18.9,,,38.05,139.87,,,,"Hoshi et al., 2023",10.5575/geosoc.2023.0021,,
HONSHU NE,K mean,Kitaoguni fm.,,Rhy. Welded Tuff,22.2,18.2,,,Y,,,,,8,329.5,45,15.3,14.1,17.6,10.9,,,38.07,139.8,,,,"Hoshi et al., 2023",10.5575/geosoc.2023.0021,,
HOKKAIDO,HK-26-1,Uimaoi Area,Minami-naganuma,Mudstone/Tuff,27,24,Biostrat,Magnetite,Y,Reversal,,,42,6,32.4,67.4,13.3,26.5,20.6,11.29394643,Individual,,42.962,141.745,67.1,197.3,50.22195378,"Tamaki et al., 2010",10.1111/j.1440-1738.2009.00698.x,,
HOKKAIDO,HK-32-1,Yubari area,Momijiyama Fm,Mudstone/sandstone,34,29,Biostrat,Magnetite,Y,Reversal,,,17,3,356.6,56,17.9,48.4,21.8,30.93842388,Individual,,42.925,141.7435,83.3,353.1,36.54881863,"Tamaki et al., 2010",10.1111/j.1440-1738.2009.00698.x,,
HOKKAIDO,HK-36-1,Yubari area,Poronai Fm.,Mudstone/sandstone,38,34,Biostrat,Magnetite,Y,Reversal,,,41,9,14.7,58.7,9.1,55.2,10,45.6,,,42.977,141.038,78.4,243.86,39.43235906,"Tamaki et al., 2010",10.1111/j.1440-1738.2009.00698.x,"Averaged in March, 2020",
HOKKAIDO,Urahoro (excl *),Urahoro Grp,,Muddy Sand,41.9,38.8,,,Y,,,,,6,37.3,51.5,13.9,24.3,,,140,8,43.14,143.92,,,,"Katagiri et al., 2019",10.1111/iar.12329,,
RYUKYU,Dyke 1,Dyke 1,,Basalt,16.5,16.2,,,Y,,,,3,,138.1,-13.3,18.3,,,,Ind,Ind,28.33,129.31,,,,"Motohashi et al., 2023",10.1186/s40623-022-01760-w,,
RYUKYU,Dyke 2,Dyke 2,,Basalt,16.6,16.4,,,Y,,,,8,,124,-24.9,8.1,,,,Ind,Ind,28.33,129.31,,,,"Motohashi et al., 2023",10.1186/s40623-022-01760-w,,
