ID,loc,name,Rock type,AgeUpBound,AgeLowBound,N,Nsites,mdec,minc,a95,k,A95,K,slat,slon,Plat,Plon,Lambda,Ref,DOI,Comments,age,Primary,Collection,Notes,Polarity,agehigh,agelow,period,N_alt,lambda
,Scotland,"Mauchline lavas, Scotland",igneous,293.0,279.0,75.0,5,191.6,24.1,18.2,18.5,3.2218462277888427,25.17591077873069,55.5,-4.6,-46.2,348.0,,Harcombe-Smee et al. (1996),10.1016/0031-9201(95)03083-2,"Taken from Bram (2023) paper, already corrected for tectonic folding. Paper is originally on palaeointensity as well.",286.0,Y,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,293.0,279.0,Permian,,12.607329846208048
,England,"SW England, Aylesbeare Mudstone",sedimentary,264.3,254.2,153.0,13,13.7,45.6,3.4,22.0,3.4,22.4,50.6,-3.4,-65.6,325.9,,Hounslow et al. (2017),https://doi.org/10.1144/jgs2015-141,"Taken from Bram (2023) paper, already corrected for tectonic folding. Paper on Kiaman superchron, in paper the number of sites is quoted as 13 with 153 samples but Bram claims it’s 81? Paper then says that it did demagnetised 250 samples?",259.25,Y,,,Normal,264.3,254.2,Permian,,27.048092500265422
,Scotland,"Peterhead dyke, Scotland",igneous,309.0,285.0,64.0,1,192.5,19.1,1.3,184.0,1.072783724717659,266.10420968858716,57.5,-1.8,-41.3,341.8,,Torsvik (1985),10.1016/0031-9201(85)90077-9,"Taken from Bram (2023) paper, already corrected for tectonic folding. Bram paper has the inclination as positive but paper has it as negative, taken results from the paper directly. ",297.0,Y,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,309.0,285.0,Permian,,9.822838661525338
,Scotland,"Kinghorn and Burntisland Lavas, Eastern Midland Valley",igneous,358.0,318.0,13.0,1,205.0,31.0,7.0,30.8,6.333404053464532,37.58705744352534,56.2,-3.1,,,,Torsvik (1988),https://doi.org/10.1016/0031-9201(89)90236-6,"Found with GPMDB, included despite low sample size as part of a wider study that finds agreement with rest of study, by looking at baked contacts of material intruded by dyke.",338.0,Y,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,358.0,318.0,Carboniferous,,16.72186074602419
,Scotland,"Permo-Carboniferous dykes, Western Midland Valley",igneous,305.0,295.0,5.0,1,190.0,22.0,6.8,85.0,5.742296236464981,118.8816653719149,54.8,-5.0,,,,Torsvik (1988),https://doi.org/10.1016/0031-9201(89)90236-7,"Found with GPMDB, included despite low sample size as part of a wider study that finds agreement with rest of study, by looking at baked contacts of material intruded by dyke.",300.0,Y,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,305.0,295.0,Carboniferous,,11.420796025697275
,England,"Upper Triassic, Mercia Mudstone, Somerset",sedimentary,227.0,208.0,27.0,4,30.8,34.3,5.1,31.0,4.5203744653101685,35.52576847768164,51.2,-3.3,,,,"Briden and Daniels, (1999)", https://doi.org/10.1144/gsjgs.156.2.0317,"Found with GPMDB, included but quite suspect. Large variance in dec/inc measurements between sites, possibly inclination shallowing or poor lab measurement.",217.5,Y,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,227.0,208.0,Triassic,,18.833321956813055
,England,"Lower-Middle Triassic, Sherwood Sandstone, Devon",sedimentary,251.0,242.0,138.0,2,23.0,34.0,3.5,12.8,3.1023211021204076,14.757183957403964,51.1,-3.4,-52.8,318.8,,"Hounslow and McIntosh, 2002",https://doi.org/10.1016/S0031-0182(03)00235-9,"Found with GPMDB, not sure why left out of Bram (2023), results seem sensible using ChRM",246.5,Y,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,251.0,242.0,Triassic,,18.636897651165103
