Moving plate,Fixed plate,Moving plate ID,Age (GTS2020),Latitude,Longitude,Angle,Fixed Plate ID,Abbreviation,Chron according to time scale used in paper,Reference,Chron in paper,Age in paper,Comments,,,,,
Iberia,North America,304,121.40,64.71,-18.94,-58.110,101,!SPN-NAM,M0r o,Vissers et al. (2013),M0,121.2,Adapted from Srivastava and Verhoef (1992),,,,,
Iberia,North America,304,127.02,64.72,-18.01,-60.973,101,!SPN-NAM,M5n m,Vissers et al. (2013),M4,126.91,"GTS2020 refers to this anomaly as chron M5 (instead of 'M4'), see Table 5.4",,,,,
Iberia,North America,304,133.44,64.90,-17.49,-62.353,101,!SPN-NAM,M11r m,Vissers et al. (2013),M11,133.15,Mean of M11r.1r y and M11r.2r o,,,,,
Iberia,North America,304,141.12,65.29,-17.06,-63.932,101,!SPN-NAM,M17r m,Vissers et al. (2013),M17,141.91,,,,,,
Iberia,North America,304,145.38,64.96,-17.49,-65.902,101,!SPN-NAM,M20r m,Vissers et al. (2013),M20,146.85,,,,,,
Iberia,North America,304,170,-69.14,169.49,58.94,101,!SPN-NAM,BSMA,Vissers et al. (2013),,170,,,,,,
Iberia,North America,304,190,-65.81,166.64,65.363,101,!SPN-NAM,,Vissers et al. (2013),,190,Fit at 190 Ma,,,,,
Iberia,North America,304,203,65.72,-12.82,-66.32,101,!SPN-NAM,,Srivastava and Verhoef (1992),,203,T19 has same pole but at 180 Ma,,,,,
Iberia,North America,304,330,65.72,-12.82,-66.32,101,!SPN-NAM,,,,,,,,,,
India,Somalia,501,0,0,0,0,709,!IND-SOM,,,,,,,,,,
India,Somalia,501,0.773,23.39,32.50,-0.318,709,!IND-SOM,C1n o,DeMets and Merkouriev (2021),1n,0.773,,,,,,
India,Somalia,501,1.775,23.91,34.01,-0.730,709,!IND-SOM,C2n y,DeMets and Merkouriev (2021),2n,1.775,,,,,,
India,Somalia,501,2.595,23.37,33.35,-1.064,709,!IND-SOM,C2An.1n y,DeMets and Merkouriev (2021),2An.1,2.595,,,,,,
India,Somalia,501,3.596,21.33,37.06,-1.631,709,!IND-SOM,C2An.3n o,DeMets and Merkouriev (2021),2An.3,3.596,,,,,,
India,Somalia,501,4.187,23.63,31.27,-1.693,709,!IND-SOM,C3n.1n y,DeMets and Merkouriev (2021),3n.1,4.187,,,,,,
India,Somalia,501,5.235,22.69,34.14,-2.231,709,!IND-SOM,C3n.4n o,DeMets and Merkouriev (2021),3n.4,5.235,,,,,,
India,Somalia,501,6.023,23.72,31.15,-2.399,709,!IND-SOM,C3An.1n y,DeMets and Merkouriev (2021),3An.1,6.023,,,,,,
India,Somalia,501,6.727,23.05,32.94,-2.757,709,!IND-SOM,C3An.2n o,DeMets and Merkouriev (2021),3An.2,6.727,,,,,,
India,Somalia,501,7.537,23.27,32.36,-3.024,709,!IND-SOM,C4.1n y,DeMets and Merkouriev (2021),4n.1,7.537,,,,,,
India,Somalia,501,8.125,22.85,32.44,-3.312,709,!IND-SOM,C4n.2n o,DeMets and Merkouriev (2021),4n.2,8.125,,,,,,
India,Somalia,501,9.105,23.70,30.97,-3.607,709,!IND-SOM,C4An o,DeMets and Merkouriev (2021),4A,9.105,,,,,,
India,Somalia,501,9.786,23.12,31.42,-3.928,709,!IND-SOM,C5n.1n y,DeMets and Merkouriev (2021),5n.1,9.786,,,,,,
India,Somalia,501,11.056,23.51,31.55,-4.438,709,!IND-SOM,C5n.2n o,DeMets and Merkouriev (2021),5n.2,11.056,,,,,,
India,Somalia,501,12.474,24.13,29.73,-4.858,709,!IND-SOM,C5An.2n o,DeMets and Merkouriev (2021),5An.2,12.474,,,,,,
India,Somalia,501,13.739,23.05,32.27,-5.653,709,!IND-SOM,C5ACn o,DeMets and Merkouriev (2021),5AC,13.739,,,,,,
India,Somalia,501,14.613,24.39,29.96,-5.800,709,!IND-SOM,C5ADn o,DeMets and Merkouriev (2021),5AD,14.609,,,,,,
India,Somalia,501,15.974,24.74,29.83,-6.410,709,!IND-SOM,C5Cn.1n y,DeMets and Merkouriev (2021),5Cn.1,15.974,,,,,,
India,Somalia,501,17.235,24.52,30.87,-7.195,709,!IND-SOM,C5Dn y,DeMets and Merkouriev (2021),5D,17.235,,,,,,
India,Somalia,501,18.007,24.98,30.59,-7.611,709,!IND-SOM,C5Eny,DeMets and Merkouriev (2021),5E,18.007,,,,,,
India,Somalia,501,18.636,24.91,31.19,-8.091,709,!IND-SOM,C6n y,DeMets and Merkouriev (2021),6ny,18.636,,,,,,
India,Somalia,501,19.535,25.41,30.47,-8.405,709,!IND-SOM,C6n o,DeMets and Merkouriev (2021),6no,19.535,,,,,,
India,Somalia,501,21.691,26.61,29.29,-8.971,709,!IND-SOM,C6AAr.2n y,DeMets and Merkouriev (2021),6AAr.2n,21.691,,,,,,
India,Somalia,501,25.099,27.54,30.30,-9.992,709,!IND-SOM,C8n.1 y,DeMets and Merkouriev (2021),8n.1n,25.099,,,,,,
India,Somalia,501,29.183,24.20,37.13,-13.122,709,!IND-SOM,C11n.1 y,DeMets and Merkouriev (2021),11n.1n,29.183,,,,,,
India,Somalia,501,33.214,24.31,39.55,-14.828,709,!IND-SOM,C13n y,DeMets and Merkouriev (2021),13ny,33.214,,,,,,
India,Somalia,501,38.398,22.74,42.86,-17.970,709,!IND-SOM,C18n.1n y,DeMets and Merkouriev (2021),18n.1n,38.398,,,,,,
India,Somalia,501,40.073,22.82,43.08,-18.608,709,!IND-SOM,C18n.2n o,DeMets and Merkouriev (2021),18n.2o,40.073,,,,,,
India,Somalia,501,41.030,23.05,42.72,-18.918,709,!IND-SOM,C19n y,DeMets and Merkouriev (2021),19ny,41.03,,,,,,
India,Somalia,501,42.196,23.40,42.34,-19.221,709,!IND-SOM,C20n y,DeMets and Merkouriev (2021),20n.1n,42.196,,,,,,
India,Somalia,501,43.450,22.72,42.71,-20.126,709,!IND-SOM,C20n o,DeMets and Merkouriev (2021),20n.1o,43.45,,,,,,
India,Somalia,501,46.235,21.97,42.42,-21.365,709,!IND-SOM,C21n y,DeMets and Merkouriev (2021),21n.1n,46.235,,,,,,
India,Somalia,501,47.760,21.96,40.93,-21.919,709,!IND-SOM,C21n o,DeMets and Merkouriev (2021),21n.1o,47.76,,,,,,
India,Somalia,501,48.878,19.88,41.63,-24.571,709,!IND-SOM,C22n y,DeMets and Merkouriev (2021),22n.1n,48.878,,,,,,
India,Somalia,501,49.666,19.35,41.39,-25.678,709,!IND-SOM,C22n o,DeMets and Merkouriev (2021),22n.1o,49.666,,,,,,
India,Somalia,501,50.767,19.67,39.35,-26.352,709,!IND-SOM,C23n.1 y,DeMets and Merkouriev (2021),23n.1n,50.767,,,,,,
India,Somalia,501,51.047,19.25,39.52,-27.186,709,!IND-SOM,C23n.2n y,DeMets and Merkouriev (2021),23n.2y,51.047,,,,,,
India,Somalia,501,51.724,19.19,38.31,-27.835,709,!IND-SOM,C23n.2n o,DeMets and Merkouriev (2021),23n.2o,51.724,,,,,,
India,Somalia,501,52.540,17.57,38.99,-31.503,709,!IND-SOM,C24n.1n y,DeMets and Merkouriev (2021),24n.1n,52.54,,,,,,
India,Somalia,501,52.930,17.78,38.54,-31.855,709,!IND-SOM,C24n.1r y,DeMets and Merkouriev (2021),24n.1r,52.93,,,,,,
India,Somalia,501,53.250,18.67,36.90,-30.509,709,!IND-SOM,C24n.3n y,DeMets and Merkouriev (2021),24n.3n,53.25,,,,,,
India,Somalia,501,53.900,18.45,36.34,-30.980,709,!IND-SOM,C24n.3n o,DeMets and Merkouriev (2021),24n.3o,53.9,,,,,,
India,Somalia,501,57.101,21.99,26.32,-28.021,709,!IND-SOM,C25n y,DeMets and Merkouriev (2021),25y,57.101,,,,,,
India,Somalia,501,57.656,21.58,26.36,-28.840,709,!IND-SOM,C25n o,DeMets and Merkouriev (2021),25o,57.656,,,,,,
India,Somalia,501,58.969,20.94,25.92,-30.750,709,!IND-SOM,C26n y,DeMets and Merkouriev (2021),26y,58.959,,,,,,
India,Somalia,501,59.237,20.63,26.11,-31.444,709,!IND-SOM,C26n o,DeMets and Merkouriev (2021),26o,59.237,,,,,,
India,Capricorn,501,59.237,3.900,73.470,3.411,511,!IND-CAP,C5Cn.1n y,Bull et al. (2010),5Cn.1,15.974,"Correction for motion since ~16 Ma between Capricorn and India (see discussion in DeMets et al. 2021, GJI)",,,,,
India,Capricorn,501,83.650,3.900,73.470,3.411,511,!IND-CAP,C34n y,fixed to Capricorn plate,,,,,,,,
India,Madagascar,501,83.650,21.21,20.07,-52.239,702,!IND-MAD,C34n y,"cross-over to Madagascar, this study",,,,,,,,
India,Madagascar,501,92,23.01,26.85,-54.29,702,!IND-MAD,,Gibbons et al. (2013),,100,,,,,,
India,Madagascar,501,106,23.01,26.85,-55.79,702,!IND-MAD,,Gibbons et al. (2013),,106,,,,,,
India,Madagascar,501,121.4,24.39,25.71,-54.54,702,!IND-MAD,M0r o,Gibbons et al. (2013),M0,120.4,,,,,,
India,Madagascar,501,123.78,24.07,25.33,-54.75,702,!IND-MAD,M1n o,Gibbons et al. (2013),Mi1n ,121,,,,,,
India,Madagascar,501,124.17,23.04,25.03,-55.73,702,!IND-MAD,M1r o,Gibbons et al. (2013),M1r,124.1,,,,,,
India,Madagascar,501,126.51,22.08,24.27,-56.61,702,!IND-MAD,M3r o,Gibbons et al. (2013),M4 ,126.7,,,,,,
India,Antarctica,501,126.51,0.75,-171.00,85.20,802,!IND-ANT,M3r o,"cross-over to Antarctica, this study",,,,,,,,
India,Antarctica,501,128.95,1.29,-169.52,85.52,802,!IND-ANT,M8n y,Gibbons et al. (2013),M8,128.9,,,,,,
India,Antarctica,501,129.6,1.45,-169.38,85.78,802,!IND-ANT,M9n y,Gibbons et al. (2013),M9,129.5,,,,,,
India,Antarctica,501,136.657,2.79,-167.32,87.49,802,!IND-ANT,M14n y,Gibbons et al. (2013),M14,136,Based on palinspastic restoration of extended continental crust in the conjugate AUS-ANT margins. Onset of continental rifting (M14; ~136 Ma) follows model of Gibbons et al. (2012),,,,,
India,Antarctica,501,160,3.68,-166,88.49,802,!IND-ANT,,Gibbons et al. (2013),,160,,,,,,
India,Antarctica,501,330,2.79,-167.32,87.49,802,!IND-ANT,,,,,,,,,,
Arabia,Somalia,503,0,90,0,0,709,!ARB-SOM,,,,,,,,,,
Arabia,Somalia,503,2.6,23.75,25.39,-1.086,709,!ARA-SOM,C2An.1ny,DeMets and Merkouriev (2016),2An.1,2.581,,,,,,
Arabia,Somalia,503,3.6,23.76,25.47,-1.516,709,!ARA-SOM,C2An.3no,DeMets and Merkouriev (2016),2An.3,3.596,,,,,,
Arabia,Somalia,503,6.02,23.86,25.62,-2.538,709,!ARA-SOM,C3An.1ny,DeMets and Merkouriev (2016),3An.1,6.033,,,,,,
Arabia,Somalia,503,8.77,23.84,25.87,-3.762,709,!ARA-SOM,C4Any,DeMets and Merkouriev (2016),4Ay,8.771,,,,,,
Arabia,Somalia,503,11.06,24.2,25.79,-4.704,709,!ARA-SOM,C5n.2no,DeMets and Merkouriev (2016),5n.2,11.056,,,,,,
Arabia,Somalia,503,15.97,25.38,24.79,-6.73,709,!ARA-SOM,C5Cn.1ny,DeMets and Merkouriev (2016),5Cn.1,15.974,,,,,,
Arabia,Somalia,503,17.53,25.47,24.1,-7.284,709,!ARA-SOM,C5Dno,DeMets and Merkouriev (2016),5Do,17.533,,,,,,
Arabia,Somalia,503,19.54,26.09,22.21,-7.877,709,!ARA-SOM,C6no,DeMets and Merkouriev (2016),6no,19.722,,,,,,
Arabia,Somalia,503,21,26.03,19.6,-7.98,709,!ARA-SOM,,Fournier et al. (2010),,,,,,,,
Arabia,Somalia,503,35,27.51,16.59,-8.3,709,!ARA-SOM,,Fournier et al. (2010),,,,,,,,
Arabia,Northeast Africa,503,35,32.96,16.88,-8.09,715,!ARA-NEA,,Fournier et al. (2010),,,,,,,,
Arabia,Northeast Africa,503,330,32.96,16.88,-8.09,715,!ARA-NEA,,Fournier et al. (2010),,,,,,,,
Capricorn plate,India,511,0,0,0,0,501,!CAP-IND,,,,,,,,,,
Capricorn plate,India,511,15.974,3.900,73.470,-3.411,501,!CAP-IND,C5Cn.1n y,Bull et al. (2010),5Cn.1,15.974,"Correction for motion since ~16 Ma between Capricorn and India (see discussion in DeMets et al. 2021, GJI)",,,,,
Capricorn plate,India,511,59.237,3.900,73.470,-3.411,501,!CAP-IND,C26n o,fixed to Indian plate,,,,,,,,
Capricorn plate,Antarctica,511,59.237,13.595,14.85,-38.377,802,!CAP-ANT,C26n o,"cross-over to Antarctica, this study",,,,,,,,
Capricorn plate,Antarctica,511,62.278,9.91,18.41,-43.59,802,!CAP-ANT,C27n y,Cande and Patriat (2015),27y,62.221,,,,,,
Capricorn plate,Antarctica,511,63.537,9.31,17.92,-45.45,802,!CAP-ANT,C28n y,Cande and Patriat (2015),28y,63.494,,,,,,
Capricorn plate,Antarctica,511,65.700,10.57,14.13,-47.84,802,!CAP-ANT,C29n o,Cande and Patriat (2015),29o,65.688,,,,,,
Capricorn plate,Antarctica,511,68.351,10.56,12.37,-51.26,802,!CAP-ANT,C31n y,Cande and Patriat (2015),31y,68.369,,,,,,
Capricorn plate,Antarctica,511,71.451,9.69,12.46,-54.21,802,!CAP-ANT,C32n.1n y,Cande and Patriat (2015),32Ay,71.449,,,,,,
Capricorn plate,Antarctica,511,74.201,9.07,12.79,-56.56,802,!CAP-ANT,C33n y,Cande and Patriat (2015),33y,74.309,,,,,,
Capricorn plate,Antarctica,511,79.900,10.52,9.73,-60.03,802,!CAP-ANT,C33n o,Cande and Patriat (2015),33o,79.9,,,,,,
Capricorn plate,Antarctica,511,83.650,9.49,10.56,-63.88,802,!CAP-ANT,C34n y,Cande and Patriat (2015),34y,83.64,,,,,,
North China block,Eurasia,601,0,0,0,0,301,!NCH-EUR,,,,,,,,,,
North China block,Eurasia,601,160,0,0,0,301,!NCH-EUR,,"North China fixed to Siberia (e.g., Torsvik and Cocks, 2016)",,,,,,,,
South China block,North China block,602,0,0,0,0,601,!SCH-NCH,,,,,,,,,,
South China block,North China block,602,5,6.5,101.4,0.8,601,!SCH-NCH,,,,,Recalculated to North China,,,,,
South China block,North China block,602,10,6.5,101.4,1.6,601,!SCH-NCH,,Replumaz and Tapponnier (2003),,5.0,Recalculated to North China,,,,,
South China block,North China block,602,160,6.5,101.4,1.6,601,!SCH-NCH,,,,,,,,,,
Madagascar,Somalia,702,0,0,0,0,709,!MAD-SOM,,,,,,,,,,
Madagascar,Somalia,702,123,0,0,0,709,!MAD-SOM,,Gaina et al. (2013),,123,Estimated age of ridge extinction,,,,,
Madagascar,Somalia,702,124.717,2.08,-42.04,0.38,709,!MAD-SOM,M3n o,Gaina et al. (2013),M2n o,124.05,"GTS2020 refers to this anomaly as chron M3n (instead of 'M2'), see Table 5.4",,,,,
Madagascar,Somalia,702,126.514,2.08,-42.04,0.96,709,!MAD-SOM,M5n y,Gaina et al. (2013),M4n y,125.67,"GTS2020 refers to this anomaly as chron M5 (instead of 'M4'), see Table 5.4",,,,,
Madagascar,Somalia,702,132.139,1.36,-44.40,2.32,709,!MAD-SOM,M10Nn.3n o,Gaina et al. (2013),M10Nn.3n o,130.49,,,,,,
Madagascar,Somalia,702,134.74,1.64,-43.48,3.34,709,!MAD-SOM,M12n o,Gaina et al. (2013),M12r.1r y,132.76,M12An y is mentioned in paper,,,,,
Madagascar,Somalia,702,141.752,1.98,-42.89,5.67,709,!MAD-SOM,M18n y,Gaina et al. (2013),M18n y,140.51,,,,,,
Madagascar,Somalia,702,154.564,-6.35,-33.38,9.98,709,!MAD-SOM,M26n.4n o,Gaina et al. (2013),M26n o,155.32,,,,,,
Madagascar,Somalia,702,170,-14.44,-21.93,15.3,709,!MAD-SOM,,Gaina et al. (2013),,170,Estimated age of breakup,,,,,
Madagascar,Somalia,702,330,-14.44,-21.93,15.3,709,!MAD-SOM,,,,,,,,,,
Moroccan Meseta,Northwest Africa,707,0,0,0,0,714,!MES-NWA,,,,,,,,,,
Moroccan Meseta,Northwest Africa,707,35,0,0,0,714,!MES-NWA,,van Hinsbergen et al. (2020),,35,Labails et al. (2010) propose a ~5 degrees rotation of 707 relative to 714; assumed fixed to 714 by e.g. Torsvik et al. (2012) and Domeier et al. (2021),,,,,
Moroccan Meseta,Northwest Africa,707,50,35.61,9.18,-0.97,714,!MES-NWA,,van Hinsbergen et al. (2020),,50,Based on correction pole of Vissers et al. (2013),,,,,
Moroccan Meseta,Northwest Africa,707,330,35.61,9.18,-0.97,714,!MES-NWA,,,,,,,,,,
Somalia,South Africa,709,0,0,0,0,701,!SOM-AFR,,,,,,,,,,
Somalia,South Africa,709,0.773,-40.12,3.22,0.04,701,!SOM-AFR,C1n o,DeMets and Merkouriev (2016),1n,0.781,,,,,,
Somalia,South Africa,709,1.775,-43.11,4.70,0.08,701,!SOM-AFR,C2n y,DeMets and Merkouriev (2016),2n,1.778,,,,,,
Somalia,South Africa,709,2.595,-44.71,5.23,0.12,701,!SOM-AFR,C2An.1n y,DeMets and Merkouriev (2016),2An.1,2.581,,,,,,
Somalia,South Africa,709,3.596,-45.44,5.06,0.17,701,!SOM-AFR,C2An.3n o,DeMets and Merkouriev (2016),2An.3,3.596,,,,,,
Somalia,South Africa,709,4.187,-45.41,4.53,0.20,701,!SOM-AFR,C3n.1n y,DeMets and Merkouriev (2016),3n.1,4.187,,,,,,
Somalia,South Africa,709,5.235,-45.40,4.20,0.24,701,!SOM-AFR,C3n.4n o,DeMets and Merkouriev (2016),3n.4,5.235,,,,,,
Somalia,South Africa,709,6.023,-45.77,5.46,0.25,701,!SOM-AFR,C3An.1n y,DeMets and Merkouriev (2016),3An.1,6.033,,,,,,
Somalia,South Africa,709,6.727,-45.81,6.76,0.28,701,!SOM-AFR,C3An.2n o,DeMets and Merkouriev (2016),3An.2,6.733,,,,,,
Somalia,South Africa,709,7.537,-45.44,7.86,0.31,701,!SOM-AFR,C4.1n y,DeMets and Merkouriev (2016),4n.1,7.528,,,,,,
Somalia,South Africa,709,8.125,-45.12,8.63,0.33,701,!SOM-AFR,C4n.2n o,DeMets and Merkouriev (2016),4n.2,8.108,,,,,,
Somalia,South Africa,709,9.105,-44.79,10.57,0.38,701,!SOM-AFR,C4An o,DeMets and Merkouriev (2016),4A,9.105,,,,,,
Somalia,South Africa,709,9.786,-44.63,11.78,0.42,701,!SOM-AFR,C5n.1n y,DeMets and Merkouriev (2016),5n.1,9.786,,,,,,
Somalia,South Africa,709,11.056,-44.20,10.85,0.46,701,!SOM-AFR,C5n.2n o,DeMets and Merkouriev (2016),5n.2,11.056,,,,,,
Somalia,South Africa,709,12.474,-43.75,9.21,0.52,701,!SOM-AFR,C5An.2n o,DeMets and Merkouriev (2016),5An.2,12.474,,,,,,
Somalia,South Africa,709,13.739,-43.80,9.22,0.60,701,!SOM-AFR,C5ACn o,DeMets and Merkouriev (2016),5AC,13.739,,,,,,
Somalia,South Africa,709,14.613,-44.10,9.91,0.66,701,!SOM-AFR,C5ADn o,DeMets and Merkouriev (2016),5AD,14.609,,,,,,
Somalia,South Africa,709,15.974,-44.83,11.28,0.76,701,!SOM-AFR,C5Cn.1n y,DeMets and Merkouriev (2016),5Cn.1,15.974,,,,,,
Somalia,South Africa,709,18.636,-43.80,14.60,0.90,701,!SOM-AFR,C6n y,DeMets and Merkouriev (2016),6ny,18.748,,,,,,
Somalia,South Africa,709,19.535,-44.39,7.68,0.81,701,!SOM-AFR,C6n o,DeMets and Merkouriev (2016),6no,19.722,,,,,,
Somalia,South Africa,709,330,-44.39,7.68,0.81,701,!SOM-AFR,,,,,,,,,,
Northwest Africa,South Africa,714,0,0,0,0,701,!NWA-AFR,,,,,,,,,,
Northwest Africa,South Africa,714,120,0,0,0,701,!NWA-AFR,,Torsvik et al. (2009),,120,,,,,,
Northwest Africa,South Africa,714,133.565,33.65,26.02,2.34,701,!NWA-AFR,M11r.1n y,Torsvik et al. (2009),M11,131.7,,,,,,
Northwest Africa,South Africa,714,330,33.65,26.02,2.34,701,!NWA-AFR,,Torsvik et al. (2009),,,,,,,,
Northeast Africa,South Africa,715,0,0,0,0,701,!NEA-AFR,,,,,,,,,,
Northeast Africa,South Africa,715,83.65,0,0,0,701,!NEA-AFR,C34n y,Torsvik et al. (2004),C34n y,,"Also provided in Torsvik et al. (2008, 2009)",,,,,
Northeast Africa,South Africa,715,121.40,40.50,-61.40,-0.70,701,!NEA-AFR,M1n y,Torsvik et al. (2004),M1n y,,"Also provided in Torsvik et al. (2008, 2009)",,,,,
Northeast Africa,South Africa,715,330,40.50,-61.40,-0.70,701,!NEA-AFR,,,,,"Also provided in Torsvik et al. (2008, 2009)",,,,,
Australia,Antarctica,801,0,0,0,0,802,!AUS-ANT,,,,,,,,,,
Australia,Antarctica,801,2.6,-11.164,-139.7,1.655,802,!AUS-ANT,C2An.1n y,Cande and Stock (2004),2Ay,2.58,,,,,,
Australia,Antarctica,801,6.02,-11.591,-139.23,3.83,802,!AUS-ANT,C3An.1n y,Cande and Stock (2004),3Ay,6.04,,,,,,
Australia,Antarctica,801,11.06,-11.896,-142.058,6.79,802,!AUS-ANT,C5n.2n o,Cande and Stock (2004),5o,10.95,,,,,,
Australia,Antarctica,801,19.72,-13.393,-145.63,12.051,802,!AUS-ANT,C6n o,Cande and Stock (2004),6o,20.13,,,,,,
Australia,Antarctica,801,25.99,-13.805,-146.444,15.919,802,!AUS-ANT,C8n.2n o,Cande and Stock (2004),8o,26.55,,,,,,
Australia,Antarctica,801,28.28,-13.58,-146.016,17.319,802,!AUS-ANT,C10n.2n o,Cande and Stock (2004),10o,28.74,,,,,,
Australia,Antarctica,801,30.98,-13.396,-145.623,18.89,802,!AUS-ANT,C12n o,Cande and Stock (2004),12o,30.94,,,,,,
Australia,Antarctica,801,33.73,-13.451,-145.623,20.495,802,!AUS-ANT,C13n o,Cande and Stock (2004),13o,33.54,,,,,,
Australia,Antarctica,801,38.08,-14.65,-146.525,22.882,802,!AUS-ANT,C17n.3n o,Cande and Stock (2004),17o,38.13,,,,,,
Australia,Antarctica,801,43.45,14.920,32.500,-24.51,802,!AUS-ANT,C20n o,Whittaker et al. (2007); Whittaker et al. (2013),20o,43.79,,,,,,
Australia,Antarctica,801,46.24,13.420,33.830,-24.62,802,!AUS-ANT,C21n y,Whittaker et al. (2013),21y,46.26,,,,,,
Australia,Antarctica,801,53.9,10.480,35.170,-25.24,802,!AUS-ANT,C24n.3n o,Whittaker et al. (2013),24o,53.35,,,,,,
Australia,Antarctica,801,62.28,9.220,35.420,-25.43,802,!AUS-ANT,C27n y,Whittaker et al. (2013),27y,60.92,,,,,,
Australia,Antarctica,801,69.27,7.89,35.75,-25.61,802,!AUS-ANT,C31n o,Whittaker et al. (2013),31o,68.74,,,,,,
Australia,Antarctica,801,71.69,6.67,36.14,-25.75,802,!AUS-ANT,C32n.1n y,Whittaker et al. (2013),32y,71.07,,,,,,
Australia,Antarctica,801,79.9,4.53,36.64,-26.13,802,!AUS-ANT,C33n o,Whittaker et al. (2013),33o,79.08,,,,,,
Australia,Antarctica,801,83.65,1.02,37.28,-26.62,802,!AUS-ANT,C34n y,Williams et al. (2011); Whittaker et al. (2013),34y,83.5,,,,,,
Australia,Antarctica,801,136.657,-3.91,37.9,-30.86,802,!AUS-ANT,,Williams et al. (2011); Whittaker et al. (2013),,136,Based on palinspastic restoration of extended continental crust in the conjugate AUS-ANT margins. Onset of continental rifting (M14; ~136 Ma) follows model of Gibbons et al. (2012),,,,,
Australia,Antarctica,801,330,-3.91,37.9,-30.86,802,!AUS-ANT,,,,,,,,,,
Antarctica,South Africa,802,0,0,0,0,701,!ANT-AFR,,,,,,,,,,
Antarctica,South Africa,802,0.773,-5.06,326.72,0.111,701,!ANT-AFR,C1n o,DeMets et al. (2021),1n,0.773,,,,,,
Antarctica,South Africa,802,1.775,-8.09,328.70,0.257,701,!ANT-AFR,C2n y,DeMets et al. (2021),2n,1.775,,,,,,
Antarctica,South Africa,802,2.595,-10.37,330.15,0.376,701,!ANT-AFR,C2An.1n y,DeMets et al. (2021),2An.1,2.595,,,,,,
Antarctica,South Africa,802,3.596,-11.98,331.20,0.523,701,!ANT-AFR,C2An.3n o,DeMets et al. (2021),2An.3,3.596,,,,,,
Antarctica,South Africa,802,4.187,-11.72,331.16,0.609,701,!ANT-AFR,C3n.1n y,DeMets et al. (2021),3n.1,4.187,,,,,,
Antarctica,South Africa,802,5.235,-9.98,330.41,0.755,701,!ANT-AFR,C3n.4n o,DeMets et al. (2021),3n.4,5.235,,,,,,
Antarctica,South Africa,802,6.023,-8.62,329.85,0.863,701,!ANT-AFR,C3An.1n y,DeMets et al. (2021),3An.1,6.023,,,,,,
Antarctica,South Africa,802,6.727,-7.62,329.51,0.958,701,!ANT-AFR,C3An.2n o,DeMets et al. (2021),3An.2,6.727,,,,,,
Antarctica,South Africa,802,7.537,-7.00,329.45,1.072,701,!ANT-AFR,C4.1n y,DeMets et al. (2021),4n.1,7.537,,,,,,
Antarctica,South Africa,802,8.125,-6.73,329.52,1.158,701,!ANT-AFR,C4n.2n o,DeMets et al. (2021),4n.2,8.125,,,,,,
Antarctica,South Africa,802,9.105,-6.41,329.72,1.306,701,!ANT-AFR,C4An o,DeMets et al. (2021),4A,9.105,,,,,,
Antarctica,South Africa,802,9.786,-6.23,329.88,1.409,701,!ANT-AFR,C5n.1n y,DeMets et al. (2021),5n.1,9.786,,,,,,
Antarctica,South Africa,802,11.056,-5.97,330.21,1.605,701,!ANT-AFR,C5n.2n o,DeMets et al. (2021),5n.2,11.056,,,,,,
Antarctica,South Africa,802,12.474,-5.80,330.65,1.836,701,!ANT-AFR,C5An.2n o,DeMets et al. (2021),5An.2,12.474,,,,,,
Antarctica,South Africa,802,13.739,-5.69,331.06,2.058,701,!ANT-AFR,C5ACn o,DeMets et al. (2021),5AC,13.739,,,,,,
Antarctica,South Africa,802,14.613,-5.60,331.32,2.215,701,!ANT-AFR,C5ADn o,DeMets et al. (2021),5AD,14.609,,,,,,
Antarctica,South Africa,802,15.974,-5.38,331.68,2.466,701,!ANT-AFR,C5Cn.1ny,DeMets et al. (2021),5Cn.1,15.974,,,,,,
Antarctica,South Africa,802,17.235,-4.87,331.77,2.698,701,!ANT-AFR,C5Dn y,DeMets et al. (2021),5D,17.235,,,,,,
Antarctica,South Africa,802,18.007,-4.19,331.56,2.833,701,!ANT-AFR,C5En y,DeMets et al. (2021),5E,18.007,,,,,,
Antarctica,South Africa,802,18.636,-2.97,330.88,2.931,701,!ANT-AFR,C6n y,DeMets et al. (2021),6ny,18.636,,,,,,
Antarctica,South Africa,802,19.535,-0.05,329.00,3.039,701,!ANT-AFR,C6n o,DeMets et al. (2021),6no,19.535,,,,,,
Antarctica,South Africa,802,21.806,1.17,328.21,3.341,701,!ANT-AFR,C6Bn.1n y,DeMets et al. (2021),6Bn.1 c,21.806,,,,,,
Antarctica,South Africa,802,23.212,1.24,328.14,3.608,701,!ANT-AFR,6Cn.3n y,DeMets et al. (2021),6Cn.3,23.318,,,,,,
Antarctica,South Africa,802,24.124,1.23,328.12,3.820,701,!ANT-AFR,C7n.2n y,DeMets et al. (2021),7n.2,24.459,,,,,,
Antarctica,South Africa,802,25.304,1.20,328.10,4.118,701,!ANT-AFR,C8n.2n y,DeMets et al. (2021),8n.2,25.987,,,,,,
Antarctica,South Africa,802,27.439,1.17,328.09,4.429,701,!ANT-AFR,C9n o,DeMets et al. (2021),9no,27.439,,,,,,
Antarctica,South Africa,802,28.141,1.15,328.08,4.619,701,!ANT-AFR,C10n.2n y,DeMets et al. (2021),10n.2,28.278,,,,,,
Antarctica,South Africa,802,29.183,1.13,328.07,4.831,701,!ANT-AFR,C11n.1n y,DeMets et al. (2021),11n.1,29.183,,,,,,
