Moving plate,Fixed plate,Moving plate ID,Age (GTS2020),Latitude,Longitude,Angle,Fixed Plate ID,Abbreviation,Chron according to time scale used in paper,Reference,Chron in paper,Age in paper,Comments,,,,,
North America ,Northwest Africa,101,170.00,65.87,-15.08,71.93,714,!NAM-NWA,BSMA,van Hinsbergen et al. (2020),BSMA,170,,,,,,
North America ,Northwest Africa,101,174.70,65.40,-15.39,74.43,714,!NAM-NWA,An E,van Hinsbergen et al. (2020),An E,174.7,,,,,,
North America ,Northwest Africa,101,195,64.31,-15.19,77.09,714,!NAM-NWA,,Sahabi et al. (2004),,195,,,,,,
North America ,Northwest Africa,101,203,64.28,-14.74,78.05,714,!NAM-NWA,,Labails et al. (2010),,203,,,,,,
North America ,Northwest Africa,101,330,64.28,-14.74,78.05,714,!NAM-NWA,,,,,,,,,,
Greenland,North America,102,0,0,0,0,101,!GRN-NAM,,,,,,,,,,
Greenland,North America ,102,33.214,0,0,0,101,!GRN-NAM,C13n y,Gaina and Jakob (2019),C13n y,33.16,,,,,,
Greenland,North America,102,40.073,62.50,-28.00,-1.25,101,!GRN-NAM,C18n.2n o,Gaina and Jakob (2019),C18n.2n o,40.14,,,,,,
Greenland,North America,102,43.450,63.71,-80.08,-1.81,101,!GRN-NAM,C20n o,Gaina and Jakob (2019),C20n o,43.43,,,,,,
Greenland,North America ,102,47.760,62.60,-99.72,-2.81,101,!GRN-NAM,C21n o,Gaina and Jakob (2019),C21n o,47.35,,,,,,
Greenland,North America ,102,49.666,61.98,-97.65,-3.33,101,!GRN-NAM,C22n o,Gaina and Jakob (2019),C22n o,49.34,,,,,,
Greenland,North America ,102,53.900,41.47,-119.03,-3.61,101,!GRN-NAM,C24n.3n o,Gaina and Jakob (2019),C24n.3n o,53.98,,,,,,
Greenland,North America ,102,57.101,22.01,-142.50,-3.02,101,!GRN-NAM,C25n y,Gaina and Jakob (2019),C25n y,57.1,,,,,,
Greenland,North America ,102,62.278,39.18,-138.41,-4.35,101,!GRN-NAM,C27n y,Gaina and Jakob (2019),C27n y,62.2,,,,,,
Greenland,North America ,102,69.27,52.86,-136.40,-6.28,101,!GRN-NAM,C31n o,Torsvik et al. (2008a),C31n o,68.74,Based on unpublished work of Carmen Gaina,,,,,
Greenland,North America ,102,83.65,65.30,-122.45,-11.00,101,!GRN-NAM,C34n y,Roest and Srivastava (1989),C34ny,83.5,,,,,,
Greenland,North America ,102,92,66.60,-119.48,-12.20,101,!GRN-NAM,,Roest and Srivastava (1989),CLB,92,,,,,,
Greenland,North America ,102,105,67.08,-118.96,-12.99,101,!GRN-NAM,,Roest and Srivastava (1989),,105,,,,,,
Greenland,North America ,102,121.40,67.50,-118.48,-13.78,101,!GRN-NAM,M0r o,Roest and Srivastava (1989),M0,126.11,,,,,,
Greenland,North America ,102,125,67.50,-118.48,-14.00,101,!GRN-NAM,,Torsvik et al. (2012),,125,Pre-breakup fit,,,,,
Greenland,North America ,102,330,67.50,-118.48,-14.00,101,!GRN-NAM,,,,,,,,,,
South America,South Africa,201,0,0,0,0,701,!SAM-AFR,,,,,,,,,,
South America,South Africa,201,0.773,60.35,321.26,0.221,701,!SAM-AFR,C1n o,DeMets and Merkouriev (2019),1n,0.781,,,,,,
South America,South Africa,201,1.775,60.60,320.99,0.507,701,!SAM-AFR,C2n y,DeMets and Merkouriev (2019),2n,1.778,,,,,,
South America,South Africa,201,2.595,60.77,320.80,0.741,701,!SAM-AFR,C2An.1n y,DeMets and Merkouriev (2019),2An.1,2.581,,,,,,
South America,South Africa,201,3.596,60.94,320.60,1.046,701,!SAM-AFR,C2An.3n o,DeMets and Merkouriev (2019),2An.3,3.596,,,,,,
South America,South Africa,201,4.187,61.01,320.52,1.227,701,!SAM-AFR,C3n.1n y,DeMets and Merkouriev (2019),3n.1,4.187,,,,,,
South America,South Africa,201,5.235,61.09,320.41,1.550,701,!SAM-AFR,C3n.4n o,DeMets and Merkouriev (2019),3n.4,5.235,,,,,,
South America,South Africa,201,6.023,61.14,320.35,1.798,701,!SAM-AFR,C3An.1n y,DeMets and Merkouriev (2019),3An.1,6.033,,,,,,
South America,South Africa,201,6.727,61.17,320.31,2.030,701,!SAM-AFR,C3An.2n o,DeMets and Merkouriev (2019),3An.2,6.733,,,,,,
South America,South Africa,201,7.537,61.19,320.28,2.312,701,!SAM-AFR,C4.1n y,DeMets and Merkouriev (2019),4n.1,7.528,,,,,,
South America,South Africa,201,8.125,61.20,320.26,2.521,701,!SAM-AFR,C4n.2n o,DeMets and Merkouriev (2019),4n.2,8.108,,,,,,
South America,South Africa,201,9.105,61.21,320.26,2.881,701,!SAM-AFR,C4An o,DeMets and Merkouriev (2019),4A,9.105,,,,,,
South America,South Africa,201,9.786,61.21,320.27,3.131,701,!SAM-AFR,C5n.1n y,DeMets and Merkouriev (2019),5n.1,9.786,,,,,,
South America,South Africa,201,11.056,61.16,320.35,3.621,701,!SAM-AFR,C5n.2n o,DeMets and Merkouriev (2019),5n.2,11.056,,,,,,
South America,South Africa,201,12.474,61.05,320.52,4.221,701,!SAM-AFR,C5An.2n o,DeMets and Merkouriev (2019),5An.2,11.474,,,,,,
South America,South Africa,201,13.739,60.89,320.74,4.773,701,!SAM-AFR,C5ACn o,DeMets and Merkouriev (2019),5AC,13.739,,,,,,
South America,South Africa,201,14.613,60.76,320.92,5.154,701,!SAM-AFR,C5ADn o,DeMets and Merkouriev (2019),5AD,14.609,,,,,,
South America,South Africa,201,15.974,60.57,321.19,5.752,701,!SAM-AFR,C5Cn.1n y,DeMets and Merkouriev (2019),5Cn.1,15.974,,,,,,
South America,South Africa,201,17.235,60.39,321.44,6.313,701,!SAM-AFR,C5Dn y,DeMets and Merkouriev (2019),5D,17.235,,,,,,
