plate_id,age,lat,lon,angle,rel_plate
6007,250.0,0.0,0.0,0.0,1
6007,265.0,4.91,-61.25,41.94,1
6007,267.0,3.4,-56.38,45.41,1
6007,270.0,0.6,-60.32,42.11,1
6007,275.0,-0.2,-67.45,37.86,1
6007,280.0,-1.49,-71.35,35.79,1
6007,290.0,-17.93,-77.33,37.61,1
6007,300.0,30.62,98.05,-40.64,1
6007,310.0,40.55,98.35,-40.58,1
6007,320.0,58.05,108.4,-33.51,1
6007,330.0,-61.7,-53.91,35.63,1
6007,340.0,-72.09,-56.83,47.77,1
6007,350.0,-67.58,-47.58,35.88,1
6007,360.0,-71.22,-34.83,22.69,1
6007,370.0,24.73,49.23,-2.35,1
6007,420.0,0.0,0.0,0.0,1
