plate_id,age,lat,lon,angle,rel_plate
301,0.0,0.0,0.0,0.0,101
301,10.95,66.44,132.98,-2.57,101
301,20.13,68.91,132.51,-5.09,101
301,33.06,68.22,131.53,-7.65,101
301,47.91,65.38,138.44,-10.96,101
301,50.6,63.55,141.98,-11.66,101
301,51.7,62.31,143.47,-11.83,101
301,52.4,60.76,144.38,-11.97,101
301,53.35,63.07,144.26,-12.82,101
301,55.9,56.17,145.06,-13.24,101
301,68.74,54.45,147.06,-15.86,101
301,79.08,63.4,147.75,-18.48,101
301,83.5,66.54,148.91,-19.7,101
301,92.0,66.67,150.26,-20.37,101
301,105.0,66.85,152.34,-21.49,101
301,118.0,68.99,154.75,-23.05,101
301,145.0,68.99,154.75,-23.05,101
301,176.0,68.99,154.75,-23.64,101
301,190.0,68.99,154.75,-23.64,101
301,220.0,78.64,161.9,-31.0,101
301,390.0,78.64,161.9,-31.0,101
301,430.0,78.64,161.9,-32.0,101
