plate_id,age,lat,lon,angle,rel_plate
430,0.0,0.0,0.0,0.0,601
430,240.0,0.0,0.0,0.0,601
430,250.0,22.5,53.72,4.01,601
430,250.0,45.09,94.52,-44.25,1
430,260.0,44.51,100.8,-35.37,1
430,270.0,54.98,99.89,-25.03,1
430,280.0,72.49,92.48,-17.28,1
430,290.0,81.61,-163.71,-20.21,1
430,300.0,67.69,-132.45,-23.88,1
430,310.0,-42.63,55.35,27.53,1
430,320.0,-16.71,60.51,40.75,1
430,330.0,-32.23,54.92,45.31,1
430,340.0,-31.77,55.92,61.38,1
430,350.0,-31.55,50.77,63.16,1
430,360.0,-19.18,48.31,61.22,1
430,370.0,-5.36,43.92,67.88,1
430,380.0,3.19,38.22,77.35,1
430,390.0,8.72,34.46,85.45,1
430,400.0,13.29,31.03,94.6,1
430,410.0,16.85,29.51,102.26,1
430,420.0,0.4,39.3,91.9,1
430,420.0,31.1,99.82,-26.94,401
430,490.0,1.3,97.25,-7.78,401
430,500.0,63.59,-95.53,6.75,401
430,510.0,81.76,-84.7,5.6,401
430,550.0,81.76,-84.7,5.6,401
