plate_id,age,lat,lon,angle,rel_plate
9006,0.0,0.0,0.0,0.0,1
9006,250.0,0.0,0.0,0.0,1
9006,275.0,3.0,-57.18,120.7,1
9006,280.0,3.36,-58.73,113.2,1
9006,290.0,-0.23,-66.07,102.44,1
9006,300.0,-4.98,-72.19,94.98,1
9006,310.0,-9.8,-74.32,84.99,1
9006,320.0,-15.63,-71.84,68.44,1
9006,330.0,-20.99,-68.51,60.98,1
9006,340.0,-35.45,-73.77,57.56,1
9006,350.0,-28.38,-66.05,44.14,1
9006,360.0,-17.71,-61.04,27.59,1
9006,370.0,45.81,-70.16,18.64,1
9006,380.0,48.18,-75.42,11.0,1
9006,390.0,50.85,-71.59,7.07,1
9006,400.0,53.28,-73.32,3.82,1
9006,410.0,-3.8,-50.45,-0.13,1
9006,420.0,0.0,0.0,0.0,1
