plate_id,age,lat,lon,angle,rel_plate
401,0.0,0.0,0.0,0.0,301
401,190.0,0.0,0.0,0.0,301
401,220.0,77.0,144.6,2.0,301
401,250.0,77.0,144.6,2.0,301
401,280.0,83.0,143.8,5.0,301
401,320.0,83.0,143.8,10.0,301
401,340.0,26.0,-30.4,-10.7,301
401,340.0,13.57,-121.55,-79.24,1
401,350.0,12.76,-125.68,-80.82,1
401,360.0,5.57,-125.26,-79.0,1
401,370.0,1.12,52.49,83.26,1
401,380.0,5.05,48.04,87.83,1
401,390.0,9.42,45.0,92.86,1
401,400.0,12.27,42.02,97.7,1
401,410.0,14.09,40.74,101.57,1
401,412.0,14.14,40.62,102.16,1
401,420.0,15.78,42.0,105.49,1
401,430.0,13.41,41.44,106.18,1
401,440.0,8.68,42.09,105.61,1
401,450.0,0.66,43.76,106.52,1
401,460.0,10.42,-137.82,-114.73,1
401,470.0,13.46,-142.98,-127.1,1
401,480.0,10.27,-148.53,-131.98,1
401,490.0,8.28,-150.38,-131.43,1
401,500.0,11.64,-155.34,-133.98,1
401,510.0,12.27,-161.0,-138.71,1
401,520.0,12.42,-158.1,-140.47,1
401,530.0,11.09,-151.04,-141.57,1
401,540.0,11.84,-143.56,-146.46,1
401,550.0,10.87,-144.28,-145.53,1
401,1060.0,54.97,17.32,129.4,1
401,1110.0,54.97,17.32,129.4,1
