plate_id,age,lat,lon,angle,rel_plate
199,0.0,0.0,0.0,0.0,101
199,180.0,0.0,0.0,0.0,101
199,180.0,56.0,42.4,53.9,1
199,186.0,54.0,45.3,55.05,1
199,200.0,49.37,50.73,58.08,1
199,224.0,49.19,36.59,58.89,1
199,240.0,33.45,33.15,45.99,1
199,255.0,9.03,-153.09,-38.41,1
199,274.0,18.96,-155.18,-47.74,1
199,295.0,19.53,-151.52,-53.28,1
199,337.0,17.21,-149.51,-64.19,1
199,372.0,9.56,-165.58,-60.93,1
199,390.0,7.67,-167.02,-66.67,1
199,406.0,2.1,-175.0,-86.03,1
199,422.0,12.4,-152.2,-74.0,1
199,450.0,27.1,-130.2,-76.26,1
199,465.0,27.8,-124.2,-89.94,1
199,475.0,29.4,-121.3,-94.09,1
199,500.0,42.1,-106.8,-113.88,1
199,515.0,26.3,-119.0,-109.4,1
199,545.0,16.5,-127.0,-109.47,1
199,580.0,-3.81,-134.64,-136.12,1
199,750.0,41.4,-104.7,-135.89,1
199,800.0,41.4,-104.7,-135.89,1
