plate_id,age,lat,lon,angle,rel_plate
602,0.0,0.0,0.0,0.0,601
602,5.0,6.5,101.4,0.8,601
602,10.0,6.5,101.4,1.6,601
602,205.0,6.5,101.4,1.6,601
602,215.0,41.13,113.91,12.7,601
602,225.0,44.0,115.44,35.59,601
602,230.0,40.95,122.48,40.0,601
602,240.0,53.18,120.77,76.71,601
602,250.0,58.97,129.95,85.89,601
602,250.0,-53.68,83.22,-34.1,701
602,260.0,-41.53,77.27,-38.89,701
602,270.0,-53.5,69.72,-38.56,701
602,280.0,-63.56,66.17,-38.5,701
602,290.0,-70.46,41.5,-37.51,701
602,300.0,-71.64,10.75,-37.07,701
602,310.0,-73.65,13.64,-31.98,701
602,320.0,-73.44,-12.64,-29.01,701
602,330.0,-72.43,-28.62,-25.45,701
602,340.0,-69.51,-44.4,-21.42,701
602,350.0,-60.64,-65.16,-18.4,701
602,360.0,-45.25,-79.05,-16.83,701
602,370.0,28.28,91.07,14.27,701
602,380.0,17.15,107.95,16.19,701
602,390.0,-12.2,-64.72,-20.61,701
602,400.0,9.21,-35.47,-15.83,701
602,410.0,17.36,-11.14,-19.24,701
602,420.0,13.91,-12.57,-19.69,701
602,430.0,35.85,-8.37,-21.19,701
602,460.0,54.35,-3.19,-24.63,701
602,480.0,45.57,77.14,-64.03,701
602,550.0,45.57,77.14,-64.03,701
602,550.0,7.4,-134.0,-132.58,1
602,740.0,0.0,73.32,82.77,1
602,750.0,41.0,-156.68,-122.33,1
602,800.0,0.0,1.0,76.5,1
