plate_id,age,lat,lon,angle,rel_plate
369,0.0,0.0,0.0,0.0,318
369,28.0,0.0,0.0,0.0,318
369,36.0,68.1,-0.83,6.49,318
369,38.0,28.0,-64.1,-1.04,318
369,40.0,54.45,55.07,1.53,318
369,40.0,66.64,-12.03,15.71,371
369,44.0,66.9,-11.17,18.0,371
369,44.0,66.91,43.84,4.57,318
369,45.0,68.44,24.45,7.02,318
369,47.0,67.53,3.82,13.31,318
369,48.0,67.66,0.7,14.16,318
369,48.0,66.11,-12.08,44.88,371
369,49.0,65.99,-11.77,36.5,371
369,50.0,65.93,-11.72,26.02,371
369,50.0,60.02,135.3,-8.79,102
369,52.0,74.15,122.39,-11.85,102
369,55.0,83.87,73.2,-17.02,102
369,550.0,83.87,73.2,-17.02,102
