plate_id,age,lat,lon,angle,rel_plate
6008,0.0,0.0,0.0,0.0,1
6008,260.0,-5.98,-50.93,-38.97,1
6008,270.0,10.91,-40.93,-50.48,1
6008,275.0,14.14,-35.4,-57.32,1
6008,280.0,14.87,-36.36,-62.19,1
6008,290.0,20.84,-41.2,-64.51,1
6008,300.0,19.51,-49.68,-71.51,1
6008,310.0,19.26,-55.08,-74.77,1
6008,320.0,12.07,-60.71,-81.89,1
6008,330.0,9.09,-65.51,-81.04,1
6008,340.0,16.56,-72.89,-86.38,1
6008,350.0,8.68,-67.13,-82.98,1
6008,360.0,1.22,-60.89,-87.21,1
6008,370.0,-9.04,-49.5,-95.21,1
6008,380.0,-6.11,-55.51,-96.28,1
6008,420.0,0.0,0.0,0.0,1
