plate_id,age,lat,lon,angle,rel_plate
919,0.0,0.0,0.0,0.0,911
919,67.7,0.0,0.0,0.0,911
919,67.7,82.8,170.4,-82.06,901
919,83.5,76.19,-90.7,-87.96,901
919,86.0,75.82,-87.26,-87.78,901
919,86.0,75.82,-87.49,-87.77,905
919,120.4,75.82,-87.49,-87.77,905
919,120.4,63.32,-36.31,-94.68,901
919,126.7,56.74,-43.64,-100.39,901
919,139.6,48.19,-49.52,-108.96,901
919,147.7,45.36,-51.24,-113.25,901
919,154.3,42.23,-53.01,-117.54,901
919,160.0,36.04,-55.39,-127.15,901
919,170.0,33.67,-56.25,-131.16,901
919,240.0,16.41,-61.54,-166.13,901
919,600.0,16.41,-61.54,-166.13,901
