plate_id,age,lat,lon,angle,rel_plate
4005,0.0,0.0,0.0,0.0,1
4005,273.0,-18.64,79.13,-66.21,1
4005,275.0,-20.43,76.94,-63.7,1
4005,280.0,-22.29,72.26,-60.95,1
4005,290.0,-16.06,62.43,-53.82,1
4005,300.0,-8.38,53.74,-48.7,1
4005,310.0,-6.01,46.78,-41.25,1
4005,320.0,-15.19,33.29,-28.47,1
4005,330.0,-21.18,29.82,-21.16,1
4005,340.0,10.22,6.67,-16.44,1
4005,350.0,40.78,-176.99,18.83,1
4005,360.0,59.0,159.35,31.44,1
4005,370.0,62.31,153.49,55.63,1
4005,380.0,-57.79,-39.18,-50.74,1
4005,390.0,-59.24,-43.45,-46.33,1
4005,400.0,-61.26,-42.83,-40.51,1
4005,410.0,-61.41,-51.43,-31.8,1
4005,420.0,17.19,88.4,19.15,1
