plate_id,age,lat,lon,angle,rel_plate
902,0.0,0.0,0.0,0.0,901
902,10.9,60.11,-89.75,-14.88,901
902,23.0,73.53,-92.61,-31.08,901
902,33.1,76.1,-110.7,-45.27,901
902,40.1,82.19,-122.97,-52.24,901
902,47.9,85.24,-160.16,-62.78,901
902,55.9,84.28,135.44,-71.47,901
902,67.7,82.93,125.82,-80.17,901
902,83.5,81.35,119.76,-93.37,901
902,120.4,71.12,92.43,-128.09,901
902,126.7,68.55,91.88,-131.5,901
902,131.9,66.01,91.24,-134.89,901
902,139.6,64.83,92.55,-141.27,901
902,147.7,63.46,94.64,-147.89,901
902,154.3,61.3,94.85,-156.46,901
902,160.0,61.43,96.02,-169.11,901
902,170.0,59.86,99.52,-181.77,901
902,240.0,59.86,99.52,-197.1,901
902,600.0,58.86,99.52,-197.1,901
