plate_id,age,lat,lon,angle,rel_plate
4016,250.0,7.26,-63.44,56.05,1
4016,260.0,12.95,-65.22,66.15,1
4016,270.0,12.66,-64.73,54.48,1
4016,280.0,13.37,-63.4,45.93,1
4016,290.0,-0.2,-68.34,39.18,1
4016,300.0,-15.2,-73.02,36.02,1
4016,310.0,-25.58,-73.35,37.84,1
4016,320.0,-44.02,-60.2,29.02,1
4016,330.0,-48.6,-47.17,31.57,1
4016,340.0,-62.98,-52.68,42.76,1
4016,350.0,-53.73,-43.22,31.87,1
4016,360.0,-50.83,-31.21,18.82,1
4016,370.0,48.91,-59.7,6.97,1
4016,380.0,-81.9,-43.21,-0.08,1
4016,390.0,-8.66,-52.26,7.24,1
4016,420.0,0.0,0.0,0.0,1
