plate_id,age,lat,lon,angle,rel_plate
601,0.0,0.0,0.0,0.0,401
601,140.0,0.0,0.0,0.0,401
601,150.0,-29.19,-18.01,-9.84,401
601,150.0,57.08,100.89,32.85,1
601,160.0,58.67,97.05,29.67,1
601,170.0,60.57,81.43,24.57,1
601,180.0,68.38,23.34,15.79,1
601,190.0,56.02,20.31,10.39,1
601,200.0,12.58,135.1,-11.93,1
601,210.0,-20.59,-52.01,23.09,1
601,220.0,-50.61,-61.34,34.34,1
601,230.0,-50.8,-76.01,40.97,1
601,240.0,-47.5,-84.05,46.45,1
601,250.0,45.09,89.95,-47.39,1
601,260.0,44.06,83.6,-54.37,1
601,270.0,46.31,80.36,-67.02,1
601,275.0,44.63,80.36,-74.21,1
601,280.0,43.31,81.44,-81.77,1
601,290.0,46.54,77.23,-92.52,1
601,300.0,48.49,74.32,-101.24,1
601,310.0,49.94,69.63,-104.16,1
601,320.0,50.61,61.6,-96.24,1
601,330.0,57.75,58.09,-87.6,1
601,340.0,62.9,51.53,-95.52,1
601,350.0,68.95,55.34,-86.32,1
601,360.0,67.95,52.18,-77.0,1
601,370.0,64.36,45.25,-68.43,1
601,380.0,67.69,40.44,-73.02,1
601,390.0,69.87,38.5,-73.51,1
601,400.0,70.75,39.5,-72.52,1
601,410.0,70.11,37.56,-78.21,1
601,430.0,72.55,23.3,-113.49,1
601,440.0,67.71,14.09,-118.96,1
601,450.0,63.48,3.72,-128.72,1
601,460.0,60.82,-8.12,-141.59,1
601,470.0,60.31,-21.56,-155.16,1
601,480.0,60.23,-28.4,-157.35,1
601,490.0,60.9,-27.6,-158.3,1
601,500.0,61.82,-28.85,-169.66,1
601,510.0,61.48,-30.21,-177.83,1
601,520.0,58.26,-26.99,-180.34,1
601,530.0,53.92,-14.94,-170.9,1
601,540.0,54.27,-10.75,-169.28,1
601,550.0,56.09,-16.82,-178.26,1
601,650.0,33.69,-2.6,-35.27,1
601,787.0,36.95,-118.0,-32.7,1
601,900.0,0.0,134.8,49.0,1
601,950.0,0.0,134.8,49.0,1
601,1100.0,23.71,-131.4,-98.46,1
