plate_id,age,lat,lon,angle,rel_plate
801,0.0,0.0,0.0,0.0,802
801,2.58,-11.16,-139.7,1.65,802
801,5.89,-11.59,-139.23,3.83,802
801,10.95,-11.9,-142.06,6.79,802
801,20.13,-13.39,-145.63,12.05,802
801,26.55,-13.8,-146.44,15.92,802
801,28.75,-13.58,-146.02,17.32,802
801,30.94,-13.4,-145.62,18.89,802
801,33.55,-13.45,-145.62,20.49,802
801,38.11,-14.65,-146.53,22.88,802
801,43.79,-15.07,-148.22,24.55,802
801,46.26,-14.0,-146.66,24.7,802
801,53.35,-10.39,-144.41,25.15,802
801,60.92,-9.95,-143.48,25.55,802
801,71.07,-9.48,-142.98,26.13,802
801,79.08,-5.12,-140.2,26.57,802
801,83.5,-2.05,-139.21,27.12,802
801,96.0,8.14,33.34,-27.83,802
801,120.4,11.1,-137.17,29.65,802
801,550.0,11.1,-137.17,29.65,802
801,550.0,40.86,-147.94,-66.15,1
801,600.0,0.0,75.87,43.09,1
801,755.0,22.88,55.4,48.77,1
801,800.0,32.0,67.0,53.64,1
801,830.0,39.54,72.0,59.51,1
801,1070.0,18.02,175.0,-59.38,1
801,1110.0,18.02,175.0,-59.38,1
