plate_id,age,lat,lon,angle,rel_plate
101,0.0,0.0,0.0,0.0,714
101,9.7,80.89,22.82,2.48,714
101,19.0,80.89,23.28,5.24,714
101,25.8,79.34,28.56,7.04,714
101,33.1,75.99,5.98,9.77,714
101,38.4,74.54,0.19,11.92,714
101,42.5,74.38,-2.8,13.56,714
101,46.3,74.23,-5.01,15.11,714
101,49.0,75.29,-4.26,15.95,714
101,52.4,77.34,-1.61,16.96,714
101,55.9,80.64,6.57,17.89,714
101,65.6,82.74,2.93,20.84,714
101,71.1,81.35,-8.32,22.75,714
101,73.6,81.11,-10.64,23.74,714
101,79.1,78.64,-18.16,26.99,714
101,83.5,76.81,-20.59,29.51,714
101,89.9,74.33,-22.65,33.86,714
101,94.1,72.0,-24.39,36.49,714
101,100.0,69.42,-23.52,40.46,714
101,106.9,68.08,-22.66,45.36,714
101,118.1,66.21,-21.0,53.19,714
101,120.6,65.95,-20.46,54.56,714
101,129.5,65.92,-19.24,57.55,714
101,137.85,66.57,-18.08,59.34,714
101,146.56,66.0,-18.7,62.29,714
101,148.57,66.08,-18.44,62.8,714
101,154.0,67.1,-15.86,64.23,714
101,170.0,67.09,-13.86,70.55,714
101,195.0,64.31,-15.19,77.09,714
101,210.0,64.28,-14.74,78.05,714
101,310.0,64.28,-14.74,78.05,714
101,320.0,64.28,-14.74,78.05,714
101,330.0,53.21,-21.16,79.73,714
101,330.0,18.37,45.23,71.16,1
101,340.0,6.71,38.54,73.66,1
101,350.0,-2.15,31.5,77.46,1
101,360.0,8.81,-156.84,-81.38,1
101,370.0,11.96,-163.67,-85.28,1
101,380.0,12.66,-168.73,-88.9,1
101,390.0,14.21,-174.83,-93.04,1
101,400.0,15.03,-176.83,-94.35,1
101,410.0,21.36,-178.09,-93.55,1
101,420.0,32.15,-171.98,-93.19,1
101,422.0,33.47,-170.54,-93.46,1
101,430.0,40.47,-167.08,-97.63,1
101,440.0,42.41,-173.17,-105.17,1
101,450.0,45.48,-174.25,-113.75,1
101,460.0,46.08,-172.39,-117.61,1
101,470.0,44.31,-166.33,-114.85,1
101,480.0,43.12,-162.54,-117.29,1
101,490.0,42.1,-161.69,-124.77,1
101,500.0,38.55,-155.6,-124.79,1
101,510.0,38.18,-156.55,-134.99,1
101,520.0,36.33,-151.08,-136.31,1
101,530.0,37.41,-151.81,-139.23,1
101,540.0,39.99,-154.15,-134.45,1
101,545.0,40.57,-153.23,-125.36,1
101,550.0,42.57,-154.81,-121.03,1
101,570.0,15.16,174.3,-145.39,1
101,720.0,0.0,72.1,83.3,1
101,780.0,40.74,-170.6,-126.8,1
101,900.0,11.74,-145.5,-127.68,1
101,980.0,0.0,-123.0,-123.0,1
101,1040.0,0.0,90.0,89.33,1
101,1060.0,7.52,97.5,90.32,1
101,1090.0,57.78,-125.02,-104.43,1
101,1110.0,61.15,-135.02,-121.68,1
