plate_id,age,lat,lon,angle,rel_plate
469,0.0,0.0,0.0,0.0,402
469,290.0,0.0,0.0,0.0,402
469,305.0,24.57,75.33,-37.96,402
469,305.0,10.01,-87.57,-18.95,1
469,310.0,65.87,40.69,-34.12,1
469,315.0,54.25,51.98,-70.86,1
469,320.0,54.2,50.65,-73.62,1
469,340.0,61.4,33.09,-110.62,1
469,350.0,61.04,32.0,-116.79,1
469,360.0,59.11,35.79,-114.27,1
469,380.0,59.33,30.7,-131.76,1
469,390.0,54.99,30.5,-120.33,1
469,430.0,70.35,-25.3,-83.4,1
469,448.0,52.89,-35.39,-102.86,1
469,452.0,48.85,-97.5,-106.04,1
469,458.0,48.33,-97.12,-106.48,1
469,461.0,55.37,-58.9,-115.47,1
469,475.0,44.31,-73.05,-119.25,1
