plate_id,age,lat,lon,angle,rel_plate
9000,0.0,0.0,0.0,0.0,1
9000,250.0,6.57,-52.94,76.01,1
9000,260.0,7.13,-54.72,79.09,1
9000,270.0,5.26,-57.28,73.55,1
9000,280.0,3.69,-59.37,68.05,1
9000,290.0,-3.79,-66.92,67.51,1
9000,300.0,-10.23,-71.58,69.45,1
9000,310.0,-17.57,-71.85,64.06,1
9000,320.0,-28.99,-65.57,52.13,1
9000,330.0,-33.35,-65.56,56.2,1
9000,340.0,-46.7,-73.38,63.59,1
9000,350.0,-49.42,-69.96,63.71,1
9000,360.0,-42.8,-80.49,54.26,1
9000,370.0,-32.76,-89.65,48.78,1
9000,380.0,-39.54,-94.79,52.1,1
9000,390.0,-41.78,-95.07,57.1,1
9000,400.0,-38.34,-90.94,57.32,1
9000,410.0,-43.2,-93.68,54.7,1
9000,420.0,0.0,0.0,0.0,1
