plate_id,age,lat,lon,angle,rel_plate
480,0.0,0.0,0.0,0.0,402
480,10.0,-39.4,-80.3,-2.8,402
480,15.0,-39.4,-80.4,-4.1,402
480,20.0,-39.4,-80.4,-5.5,402
480,25.0,-39.4,-80.4,-6.4,402
480,210.0,-39.4,-80.4,-6.4,402
480,250.0,31.0,79.4,-11.6,402
480,250.0,38.07,70.93,34.44,1
480,260.0,38.93,68.95,33.45,1
480,270.0,27.59,73.39,30.68,1
480,280.0,20.86,84.08,32.13,1
480,285.0,11.1,81.85,30.06,1
480,290.0,-1.09,79.1,27.1,1
480,300.0,-21.08,73.87,26.21,1
480,310.0,27.94,-106.23,-30.83,1
480,320.0,-21.17,81.19,39.51,1
480,330.0,10.62,-107.81,-49.62,1
480,340.0,19.63,-115.85,-55.21,1
480,350.0,7.88,-120.08,-60.11,1
480,360.0,1.44,-114.42,-62.59,1
480,370.0,-3.49,-107.04,-67.12,1
480,380.0,1.03,-110.98,-68.09,1
480,390.0,0.37,-113.17,-70.42,1
480,400.0,1.13,-112.95,-68.74,1
480,410.0,6.28,-114.23,-67.66,1
480,415.0,13.0,-117.93,-68.84,1
480,420.0,19.65,-121.74,-70.71,1
480,420.0,37.93,89.24,110.25,601
480,490.0,38.0,107.0,132.2,601
480,540.0,42.23,109.86,136.24,601
480,600.0,42.23,109.86,136.24,601
