plate_id,age,lat,lon,angle,rel_plate
6006,250.0,0.0,0.0,0.0,1
6006,280.0,-54.47,63.84,-57.15,1
6006,290.0,-49.28,59.54,-49.19,1
6006,300.0,-45.69,58.34,-42.48,1
6006,310.0,-40.97,55.3,-39.98,1
6006,320.0,-59.16,63.96,-32.36,1
6006,330.0,-49.44,73.12,-27.04,1
6006,340.0,-46.6,123.15,-19.32,1
6006,350.0,31.3,-61.66,17.08,1
6006,360.0,42.39,-33.22,24.03,1
6006,370.0,39.81,-28.98,28.95,1
6006,380.0,28.36,-22.61,32.74,1
6006,390.0,23.73,-19.73,36.46,1
6006,400.0,19.85,-18.61,43.98,1
6006,410.0,18.37,-16.82,48.47,1
6006,420.0,17.51,-14.56,52.09,1
