plate_id,age,lat,lon,angle,rel_plate
901,0.0,0.0,0.0,0.0,804
901,0.78,64.3,-81.21,0.68,804
901,1.86,64.9,-81.14,1.61,804
901,2.58,65.2,-81.22,2.23,804
901,3.58,65.9,-81.17,3.11,804
901,4.24,66.62,-80.53,3.7,804
901,5.11,66.91,-80.66,4.48,804
901,5.89,67.09,-81.08,5.21,804
901,6.57,67.33,-81.2,5.81,804
901,7.86,68.16,-80.54,6.83,804
901,8.86,68.83,-79.97,7.64,804
901,9.74,69.71,-78.57,8.42,804
901,10.95,70.36,-77.81,9.48,804
901,12.29,71.29,-76.11,10.63,804
901,13.07,71.75,-75.12,11.28,804
901,14.4,72.38,-73.58,12.42,804
901,15.1,72.6,-73.19,13.01,804
901,16.15,72.97,-72.5,13.95,804
901,16.64,73.18,-72.03,14.34,804
901,17.45,73.39,-71.58,14.93,804
901,18.28,73.62,-70.91,15.42,804
901,19.05,73.71,-70.94,15.95,804
901,20.13,74.0,-70.16,16.73,804
901,21.16,74.13,-70.09,17.38,804
901,23.07,74.39,-69.73,18.67,804
901,24.06,74.48,-69.58,19.35,804
901,24.84,74.51,-69.66,19.92,804
901,25.82,74.5,-69.84,20.63,804
901,26.55,74.51,-69.81,21.17,804
901,27.03,74.46,-69.9,21.53,804
901,27.97,74.4,-69.75,22.23,804
901,28.28,74.41,-69.5,22.58,804
901,28.75,74.33,-69.54,22.95,804
901,29.4,74.38,-68.71,23.66,804
901,30.1,74.33,-68.43,24.23,804
901,30.48,74.37,-67.75,24.71,804
901,30.94,74.32,-67.59,25.06,804
901,33.06,74.44,-64.74,26.97,804
901,33.55,74.48,-64.02,27.4,804
901,34.66,74.62,-61.89,28.4,804
901,34.94,74.63,-61.49,28.61,804
901,35.69,74.7,-60.18,29.23,804
901,36.34,74.75,-59.05,29.81,804
901,36.62,74.76,-58.64,30.05,804
901,37.47,74.82,-57.44,30.68,804
901,38.43,74.86,-56.21,31.41,804
901,40.13,74.87,-54.46,32.62,804
901,41.39,74.86,-53.25,33.53,804
901,42.54,74.86,-52.23,34.22,804
901,43.79,74.78,-51.61,35.29,804
901,45.03,74.7,-51.16,35.99,804
901,45.03,-49.8,178.4,-49.0,833
901,83.5,-49.8,178.4,-49.0,833
901,83.5,55.36,-77.8,45.57,0
901,95.0,54.28,-79.6,50.75,0
901,106.2,58.27,-83.58,57.0,0
901,112.3,58.92,-84.76,59.34,0
901,118.4,58.95,-78.59,63.7,0
901,125.0,60.29,-88.64,66.59,0
901,131.9,60.59,-118.34,75.24,0
901,144.0,57.5,-130.65,80.81,0
901,150.0,55.75,-135.49,83.87,0
