plate_id,age,lat,lon,angle,rel_plate
833,0.0,0.0,0.0,0.0,801
833,52.2,0.0,0.0,0.0,801
833,53.3,-14.19,130.41,-0.72,801
833,55.8,-15.93,133.47,-2.11,801
833,57.9,-16.93,136.23,-3.79,801
833,61.2,-4.65,131.51,-4.43,801
833,62.5,-4.71,132.68,-5.17,801
833,64.0,-0.19,130.37,-5.46,801
833,65.6,-3.99,131.8,-6.73,801
833,67.7,-9.04,134.46,-8.83,801
833,71.1,-14.72,139.04,-13.08,801
833,73.6,-9.53,137.2,-12.94,801
833,79.0,0.37,133.82,-13.0,801
833,86.0,4.06,-42.35,15.51,801
833,90.0,3.27,-42.59,18.34,801
833,99.0,3.27,-42.59,18.34,801
833,600.0,3.27,-42.59,18.34,801
