plate_id,age,lat,lon,angle,rel_plate
4003,0.0,0.0,0.0,0.0,1
4003,250.0,21.38,65.35,-51.19,1
4003,260.0,15.71,67.83,-47.34,1
4003,270.0,11.09,62.25,-45.56,1
4003,280.0,8.14,51.12,-42.89,1
4003,290.0,17.14,46.0,-45.21,1
4003,300.0,22.17,44.07,-47.47,1
4003,310.0,20.33,33.85,-42.97,1
4003,320.0,22.06,14.81,-29.65,1
4003,330.0,41.74,13.37,-23.9,1
4003,340.0,62.43,-4.59,-30.59,1
4003,350.0,68.81,-20.91,-28.3,1
4003,360.0,68.87,-28.64,-19.7,1
4003,370.0,3.78,-2.01,-18.94,1
4003,380.0,18.2,-10.32,-16.85,1
4003,390.0,32.79,-4.71,-14.44,1
4003,400.0,16.8,17.97,-8.79,1
4003,410.0,18.27,-25.07,-5.58,1
4003,420.0,0.0,0.0,0.0,1
