plate_id,age,lat,lon,angle,rel_plate
9002,0.0,0.0,0.0,0.0,9000
9002,250.0,0.0,0.0,0.0,9000
9002,260.0,0.0,-150.0,10.0,9000
9002,270.0,0.0,-150.0,18.0,9000
9002,290.0,0.0,-150.0,34.0,9000
9002,310.0,0.0,-150.0,50.0,9000
9002,320.0,0.0,-150.0,58.0,9000
9002,330.0,0.0,-150.0,68.0,9000
9002,340.0,0.0,-150.0,79.0,9000
9002,350.0,0.0,-150.0,92.0,9000
9002,360.0,0.0,-150.0,106.0,9000
9002,370.0,0.0,-150.0,122.0,9000
9002,390.0,0.0,-150.0,138.0,9000
9002,410.0,0.0,-150.0,154.0,9000
9002,420.0,0.0,0.0,0.0,9000
