plate_id,age,lat,lon,angle,rel_plate
1001,0.0,0.0,0.0,0.0,1
1001,250.0,0.0,0.0,0.0,1
1001,310.0,-56.85,34.74,-25.18,1
1001,320.0,-37.8,13.12,-30.77,1
1001,330.0,-0.5,13.7,-50.62,1
1001,340.0,13.52,9.81,-62.97,1
1001,350.0,18.51,4.13,-86.38,1
1001,360.0,17.51,5.61,-106.53,1
1001,370.0,17.26,5.43,-111.64,1
1001,380.0,18.28,3.08,-102.76,1
1001,390.0,18.92,2.2,-97.45,1
1001,400.0,20.16,0.51,-91.66,1
1001,420.0,19.19,-2.23,-86.34,1
1001,430.0,18.49,-3.79,-80.89,1
1001,440.0,16.75,-8.47,-69.91,1
1001,450.0,15.65,-19.47,-63.28,1
1001,460.0,19.78,-32.97,-68.46,1
1001,470.0,25.64,-45.02,-70.26,1
1001,480.0,30.77,-48.0,-74.31,1
1001,490.0,39.38,-55.1,-79.59,1
1001,495.0,35.11,-59.48,-80.47,1
1001,510.0,0.0,0.0,0.0,1
