plate_id,age,lat,lon,angle,rel_plate
294,0.0,0.0,0.0,0.0,201
294,83.5,0.0,0.0,0.0,201
294,83.5,-77.92,-113.49,-30.08,802
294,93.0,-75.9,-119.0,-33.02,802
294,118.0,-72.96,-96.03,-45.17,802
294,122.3,-72.4,-94.7,-46.8,802
294,125.4,-71.75,-95.9,-47.1,802
294,130.0,-70.74,-97.11,-47.87,802
294,132.5,-70.26,-97.7,-48.3,802
294,134.8,-69.67,-99.35,-48.2,802
294,138.3,-69.08,-97.47,-50.85,802
294,142.3,-68.07,-99.96,-50.64,802
294,147.0,-66.81,-102.67,-50.42,802
294,160.0,-66.81,-102.67,-54.0,802
294,180.0,-66.81,-102.67,-54.0,802
