plate_id,age,lat,lon,angle,rel_plate
4008,250.0,0.0,0.0,0.0,1
4008,265.0,0.18,-49.51,47.71,1
4008,267.0,-1.44,-53.05,45.07,1
4008,270.0,-4.06,-58.79,40.99,1
4008,275.0,-3.67,-71.39,36.9,1
4008,280.0,6.14,103.22,-35.46,1
4008,290.0,23.65,95.5,-38.39,1
4008,300.0,36.95,88.17,-42.89,1
4008,310.0,46.3,86.98,-42.94,1
4008,320.0,63.26,88.35,-36.09,1
4008,330.0,-68.36,-68.88,36.81,1
4008,340.0,-76.34,-66.04,48.88,1
4008,350.0,-69.69,-47.03,35.63,1
4008,360.0,-70.4,-27.18,22.22,1
4008,370.0,0.0,0.0,0.0,1
4008,420.0,0.0,0.0,0.0,1
